root@SRV-AGENTE-PROXY-NBM-CLOUD-01:~# tail -30 /opt/nbm-agent/logs/agent.log
[2026-01-10 09:23:13] [DEBUG] Sent heartbeat
[2026-01-10 09:23:13] [DEBUG] Sent heartbeat
[2026-01-10 09:23:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:23:13.877Z"}
[2026-01-10 09:23:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:23:13.877Z"}
[2026-01-10 09:23:13] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:23:13] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:23:43] [DEBUG] Sent heartbeat
[2026-01-10 09:23:43] [DEBUG] Sent heartbeat
[2026-01-10 09:23:43] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:23:43.889Z"}
[2026-01-10 09:23:43] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:23:43.889Z"}
[2026-01-10 09:23:43] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:23:43] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:24:13] [DEBUG] Sent heartbeat
[2026-01-10 09:24:13] [DEBUG] Sent heartbeat
[2026-01-10 09:24:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:24:13.893Z"}
[2026-01-10 09:24:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:24:13.893Z"}
[2026-01-10 09:24:13] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:24:13] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:24:43] [DEBUG] Sent heartbeat
[2026-01-10 09:24:43] [DEBUG] Sent heartbeat
[2026-01-10 09:24:43] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:24:43.930Z"}
[2026-01-10 09:24:43] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:24:43.930Z"}
[2026-01-10 09:24:43] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:24:43] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:25:13] [DEBUG] Sent heartbeat
[2026-01-10 09:25:13] [DEBUG] Sent heartbeat
[2026-01-10 09:25:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:25:13.913Z"}
[2026-01-10 09:25:13] [DEBUG] Received: {"type":"heartbeat_ack","timestamp":"2026-01-10T12:25:13.913Z"}
[2026-01-10 09:25:13] [DEBUG] Heartbeat acknowledged
[2026-01-10 09:25:13] [DEBUG] Heartbeat acknowledged
root@SRV-AGENTE-PROXY-NBM-CLOUD-01:~# 
